movie,review
The Lord of the Rings The Two Towers,remarkable display of fantasy action powerful ring hobbit destroy it fight
Inception,implanting stealing idea destroy gripping action jaw dropping fight stunning visual violence
Spiderman Across the spider verse,mind bending wild action sequences intimate emotional moments amazing action
The Dark Knight,Best live action portrayal beat organized crime in Gotham enigmatic villain brutality violence
Three colors red,mesmerising friendship turned love profound unconventional bond heartfelt 
It happened one night,Romantic comedy screwball comedy enduring tale of romance comical true love
In the Mood for Love,Neighbors solace bonding affair predicament spell binding infatuation heartwarming
Before Sunrise,blossoming love know each other chance encounter meeting someone special fleeting romance magical evening
Gone with the wind,epic romance greatest romantic film ever made touching amazing relationship cherished love
Eternal Sunshine of the Spotless Mind,Length people go finding love of life emotional rollercoaster in blossoming of love reignited fascinating journey into heart 
The Shawshank Redemption,movie about friendship life fight to be good person prisoner surviving
Raging Bull,brutal boxing sports movie turbulent life outside ring almost tragedy character not likable pitiable brutal
Lawrence of Arabia,classic adventure war movie psychological drama british officer fight ottoman success ego dangerous
